loc,noa,nom,totalLOCOfInnerClasses,numberOfAnnotatedMethodOverrides,classInheritsFromAndroidClass,decor,jdeodorant,jspirit,oracle_smelly
593,23,22,0,11,false,true,false,true,true
143,4,6,0,3,false,false,false,true,false
131,9,9,0,5,false,false,false,false,false
70,2,4,11,3,true,false,false,false,false
11,0,1,0,1,false,false,false,false,false
100,5,6,0,2,true,false,false,false,false
76,6,6,0,3,true,false,false,false,false
50,4,5,0,2,true,false,false,false,false
61,9,4,0,3,true,false,false,false,false
113,2,4,11,3,true,false,false,false,false
11,0,1,0,1,false,false,false,false,false
88,5,8,0,6,false,false,false,false,false
365,7,16,0,4,true,false,false,false,false
108,7,8,0,5,true,false,false,false,false
273,15,11,72,3,true,false,false,false,false
72,5,8,0,0,false,false,true,false,false
129,5,3,0,2,true,false,false,false,false
408,18,13,200,4,true,false,false,false,false
195,5,3,113,1,true,false,false,false,false
113,2,4,0,0,false,false,false,false,false
5,0,1,0,0,true,false,false,false,false
130,4,6,0,2,true,false,false,false,false
235,13,11,101,5,true,false,false,false,false
5,0,1,0,0,true,false,false,false,false
96,3,6,0,1,true,false,false,false,false
458,15,13,300,5,true,false,false,false,false
5,0,1,0,0,true,false,false,false,false
295,2,11,0,1,true,false,false,false,false
221,22,11,59,4,true,false,false,false,false
54,0,2,0,2,true,false,false,false,false
5,0,1,0,0,true,false,false,false,false
45,1,4,0,2,true,false,false,false,false
21,1,1,0,1,true,false,false,false,false
273,22,14,0,5,true,false,false,true,false
195,14,10,12,0,false,false,true,false,false
12,7,1,0,1,false,false,false,false,false
19,2,5,0,0,false,false,false,false,false
157,1,17,0,0,false,false,false,false,false
17,2,1,0,0,false,false,false,false,false
34,16,2,0,0,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
23,0,21,0,0,false,false,false,false,false
7,5,0,0,0,false,false,false,false,false
32,4,4,0,0,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
21,5,3,0,2,false,false,false,false,false
24,15,1,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
20,1,4,0,0,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
19,6,2,0,1,false,false,false,false,false
8,2,1,0,0,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
4,0,2,0,0,false,false,false,false,false
4,0,2,0,0,false,false,false,false,false
763,39,31,42,0,false,true,false,true,false
22,6,4,0,0,false,false,true,false,false
16,11,1,0,1,false,false,false,false,false
4,2,0,0,0,false,false,false,false,false
13,2,2,0,2,false,false,false,false,false
412,11,29,0,21,false,false,true,false,false
979,38,88,0,17,true,true,true,true,true
142,9,8,26,0,false,false,false,false,false
21,7,2,0,0,false,false,false,false,false
5,0,1,0,0,false,false,false,false,false
31,1,2,20,1,true,false,false,false,false
20,1,1,0,1,true,false,false,false,false
72,4,3,0,0,false,false,true,false,false
5,0,3,0,0,false,false,false,false,false
787,74,104,0,3,false,true,true,true,true
44,3,4,0,0,false,false,true,false,false
179,11,12,0,3,true,false,false,false,false
2,0,0,0,0,false,false,false,false,false
197,15,31,0,3,false,false,false,false,false
12,1,3,0,1,false,false,false,false,false
117,5,7,0,1,true,false,true,false,false
8,0,1,0,0,false,false,false,false,false
93,19,19,0,1,false,false,true,false,false
729,8,45,9,0,false,true,false,true,true
9,1,2,0,0,false,false,false,false,false
93,12,5,0,4,true,false,false,false,false
279,10,22,0,1,false,false,true,true,false
27,0,1,0,0,true,false,false,false,false
101,5,1,54,0,true,false,false,false,false
54,0,10,0,0,true,false,false,false,false
79,10,17,0,0,false,false,false,false,false
14,9,1,0,0,false,false,false,false,false
123,7,8,0,5,true,false,false,false,false
13,0,11,0,0,false,false,false,false,false
215,3,24,0,1,false,false,false,false,false
133,3,12,0,1,false,false,true,false,false
181,71,25,0,0,false,false,false,false,false
399,3,37,0,0,false,false,false,true,false
135,18,7,0,4,true,false,false,false,false
727,6,2,675,0,false,false,false,false,false
11,9,0,0,0,false,false,false,false,false
35,4,5,0,1,false,false,false,false,false
4,2,0,0,0,false,false,false,false,false
35,10,2,0,0,false,false,false,false,false
176,11,9,0,5,false,false,false,false,false
400,15,10,42,0,false,false,true,false,false
42,8,4,0,2,false,false,false,false,false
14,2,3,0,0,false,false,false,false,false
254,12,12,144,2,true,false,true,false,false
40,4,6,0,5,true,false,false,false,false
82,11,10,0,8,true,false,false,false,false
22,5,4,0,1,true,false,false,false,false
104,6,2,0,0,false,false,false,false,false
157,35,6,0,0,false,false,false,false,false
75,26,1,0,0,false,false,false,false,false
262,24,15,0,4,true,false,true,false,false
63,4,3,0,2,true,false,false,false,false
136,18,9,0,1,true,false,true,false,false
54,5,6,0,3,false,false,false,false,false
350,39,25,0,0,false,false,false,false,false
123,3,14,0,0,false,false,true,false,false
88,5,7,0,0,false,false,true,false,false
1142,35,75,186,0,false,true,true,true,true
33,1,3,0,0,false,false,false,false,false
35,2,3,0,0,false,false,false,false,false
96,25,10,0,1,false,false,false,false,false
22,4,3,0,0,false,false,true,false,false
106,0,19,0,5,false,false,false,true,false
58,10,4,0,2,false,false,false,false,false
35,7,4,0,3,true,false,false,false,false
1305,49,96,454,8,true,true,true,true,true
64,2,4,22,0,false,false,false,false,false
22,0,1,0,1,false,false,false,false,false
390,12,19,23,0,false,false,true,false,false
13,3,2,0,0,false,false,false,false,false
10,3,1,0,0,false,false,false,false,false
179,8,7,0,1,true,false,false,false,false
37,3,6,0,3,true,false,false,false,false
4562,141,180,1805,6,false,true,true,true,true
106,0,13,0,11,true,false,false,false,false
7,0,2,0,0,false,false,false,false,false
33,2,2,0,0,false,false,false,false,false
199,3,19,0,4,true,false,false,false,false
308,22,9,0,0,false,false,false,false,false
270,16,14,25,0,false,false,true,false,false
25,1,2,0,1,false,false,false,false,false
28,1,4,0,0,false,false,false,false,false
43,3,3,0,0,false,false,false,false,false
17,3,3,0,1,false,false,false,false,false
37,4,4,0,2,false,false,false,false,false
5,0,1,0,0,true,false,false,false,false
30,2,3,0,0,false,false,false,false,false
29,1,5,0,0,false,false,false,false,false
103,7,6,0,3,false,false,false,false,false
403,16,9,0,3,false,false,true,false,false
132,8,4,0,2,false,false,false,false,false
24,2,5,0,4,true,false,false,false,false
31,2,4,0,2,false,false,false,false,false
71,8,6,0,3,true,false,false,false,false
36,0,2,0,1,true,false,false,false,false
90,7,4,0,3,true,false,false,false,false
310,12,8,174,6,true,false,false,false,false
107,1,12,0,0,true,false,false,false,false
11,0,3,0,0,true,false,false,false,false
56,2,6,0,1,true,false,false,false,false
7,5,0,0,0,false,false,false,false,false
58,6,7,0,0,false,false,false,false,false
1379,73,22,962,5,true,true,false,true,false
90,11,11,0,0,false,false,false,false,false
57,1,5,0,0,false,false,false,false,false
14,0,2,0,0,false,false,false,false,false
55,1,7,0,0,false,false,false,false,false
9,0,2,0,0,false,false,false,false,false
9,0,1,0,0,false,false,false,false,false
9,0,1,0,0,false,false,false,false,false
58,0,4,0,0,false,false,false,false,false
24,0,3,0,0,false,false,false,false,false
16,0,3,0,0,false,false,false,false,false
27,0,5,0,0,false,false,false,false,false
65,1,4,0,0,false,false,false,false,false
8,2,1,0,0,false,false,false,false,false
33,0,3,0,0,false,false,false,false,false
182,2,19,0,0,false,false,false,false,false
11,0,1,0,0,false,false,false,false,false
8,0,1,0,0,false,false,false,false,false
7,0,1,0,0,false,false,false,false,false
94,4,7,12,0,false,false,false,false,false
12,4,1,0,0,false,false,false,false,false
47,0,4,0,0,false,false,false,false,false
70,3,4,0,1,true,false,false,false,false
69,1,3,0,0,false,false,false,false,false
232,14,13,0,1,false,false,true,false,false
93,12,5,0,2,true,false,false,false,false
65,7,3,10,1,false,false,false,false,false
10,3,1,0,0,false,false,false,false,false
27,1,3,0,0,false,false,false,false,false
127,7,6,0,0,false,false,false,false,false
179,152,5,0,0,false,false,false,false,false
620,18,21,296,0,false,true,true,false,false
22,3,5,0,1,false,false,false,false,false
38,3,5,0,1,false,false,false,false,false
70,2,10,0,0,false,false,true,false,false
51,1,9,0,0,false,false,false,false,false
6,1,1,0,0,true,false,false,false,false
109,7,9,0,6,true,false,false,false,false
523,17,24,0,7,true,true,false,false,false
74,11,8,0,4,false,false,false,false,false
69,3,3,0,0,true,false,false,false,false
42,1,13,0,0,false,false,false,false,false
44,2,13,0,10,false,false,false,false,false
320,12,6,135,4,true,false,false,false,false
4,2,0,0,0,false,false,false,false,false
75,3,4,0,0,false,false,false,false,false
56,3,9,0,6,true,false,false,false,false
199,9,6,25,0,false,false,false,false,false
25,3,4,0,3,false,false,false,false,false
1121,24,46,370,3,true,true,false,false,true
98,0,5,0,4,true,false,false,false,false
10,1,2,0,1,false,false,false,false,false
10,1,2,0,1,false,false,false,false,false
215,6,10,127,0,true,false,false,false,false
127,8,2,0,0,false,false,false,false,false
30,0,1,0,1,true,false,false,false,false
7,0,2,0,0,false,false,false,false,false
365,7,66,0,0,false,false,true,true,false
167,2,10,73,1,false,false,true,false,false
37,2,4,0,1,false,false,false,false,false
36,1,5,0,1,false,false,false,false,false
40,1,11,0,7,true,false,false,false,false
466,30,25,0,5,true,false,true,true,false
77,9,9,0,0,false,false,true,true,false
164,5,9,8,0,false,false,false,false,false
8,2,1,0,0,false,false,false,false,false
271,14,17,40,2,true,false,true,true,false
40,2,2,0,1,true,false,false,false,false
220,17,23,0,4,true,false,true,false,false
15,0,13,0,0,false,false,false,false,false
75,3,10,0,0,false,false,true,false,false
634,11,41,172,4,true,true,false,false,true
18,0,3,0,1,false,false,false,false,false
13,0,3,0,1,false,false,false,false,false
16,1,2,0,1,false,false,false,false,false
9,1,2,0,0,false,false,false,false,false
21,1,4,0,2,false,false,false,false,false
95,0,30,0,0,true,false,false,false,false
1283,21,64,156,2,false,true,true,true,true
8,0,2,0,0,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
138,3,10,0,0,false,false,false,false,false
58,8,6,0,0,false,false,true,false,false
109,4,9,0,1,false,false,false,false,false
197,7,19,0,0,false,false,false,false,false
8,0,2,0,0,false,false,false,false,false
73,3,8,8,0,false,false,false,false,false
8,2,1,0,0,false,false,false,false,false
81,6,7,0,2,false,false,false,false,false
124,4,7,0,0,false,false,false,false,false
36,21,5,0,0,false,false,false,false,false
47,2,4,0,0,true,false,false,false,false
77,5,7,0,3,true,false,false,false,false
410,25,30,0,5,true,false,true,true,false
27,1,4,0,1,true,false,false,false,false
113,16,9,0,1,true,false,true,false,false
49,4,8,0,2,true,false,false,false,false
253,25,16,11,3,true,false,true,false,false
11,9,0,0,0,false,false,false,false,false
96,6,10,0,1,true,false,false,false,false
156,8,19,0,0,true,false,true,false,false
490,12,22,160,1,true,false,false,false,false
66,1,7,0,5,true,false,false,false,false
31,2,1,0,0,false,false,false,false,false
63,5,8,0,7,false,false,false,false,false
58,3,8,0,2,true,false,false,false,false
100,6,11,0,0,true,false,true,false,false
54,5,5,0,1,true,false,false,false,false
65,2,9,0,2,true,false,false,false,false
170,21,16,0,1,true,false,true,false,false
132,18,14,0,3,true,false,false,false,false
59,1,15,0,0,false,false,false,false,false
72,4,7,21,1,false,false,false,false,false
21,9,2,0,0,false,false,false,false,false
663,38,45,7,3,true,true,true,true,false
7,5,0,0,0,false,false,false,false,false
93,7,9,0,0,false,false,false,false,false
181,7,17,0,0,false,false,false,false,false
383,8,19,0,0,false,false,false,true,false
13,0,1,0,0,true,false,false,false,false
19,2,2,0,1,true,false,false,false,false
26,4,3,0,1,true,false,false,false,false
15,0,1,0,0,false,false,false,false,false
12,0,1,0,1,true,false,false,false,false
94,5,10,0,0,false,false,false,false,false
86,1,2,0,0,false,false,false,false,false
78,6,4,0,0,false,false,true,false,false
88,7,7,0,2,false,false,false,false,false
23,3,4,0,0,false,false,false,false,false
16,0,1,0,0,false,false,false,false,false
1058,27,45,256,0,false,true,true,false,false
33,0,1,0,0,false,false,false,false,false
100,4,10,0,1,false,false,false,false,false
123,21,7,0,0,false,false,false,false,false
748,32,28,265,4,false,true,true,true,true
7,5,0,0,0,false,false,false,false,false
10,8,0,0,0,false,false,false,false,false
118,3,8,0,1,false,false,false,false,false
71,7,8,0,1,false,false,false,false,false
59,5,7,0,1,false,false,false,false,false
33,5,4,0,0,false,false,false,false,false
1075,56,46,387,10,true,true,true,true,true
9,0,2,0,2,false,false,false,false,false
30,0,1,0,1,false,false,false,false,false
22,0,4,0,4,false,false,false,false,false
52,0,3,0,3,false,false,false,false,false
29,0,2,0,2,false,false,false,false,false
93,4,9,0,9,false,false,false,false,false
37,0,2,0,1,true,false,false,false,false
92,6,4,0,4,true,false,false,false,false
23,0,1,0,1,true,false,false,false,false
68,1,3,0,0,false,false,false,false,false
34,3,8,0,2,false,false,true,false,false
393,31,21,19,0,false,false,true,false,false
19,3,4,0,0,false,false,false,false,false
401,36,16,134,3,false,false,true,false,false
37,8,2,0,0,false,false,false,false,false
97,9,12,0,0,false,false,true,false,false
97,5,10,8,7,true,false,false,false,false
8,0,1,0,0,true,false,false,false,false
171,11,17,0,3,false,false,true,false,false
46,3,6,0,0,false,false,false,false,false
69,6,8,0,0,false,false,false,false,false
84,5,12,0,10,false,false,false,false,false
57,0,4,0,0,false,false,false,false,false
115,11,19,0,9,false,false,true,false,false
65,4,8,8,4,true,false,false,false,false
8,0,1,0,0,true,false,false,false,false
153,11,24,0,18,false,false,false,false,false
20,2,3,0,0,false,false,false,false,false
151,23,7,0,0,false,false,true,false,false
105,11,10,0,3,false,false,false,false,false
78,6,14,0,9,false,false,false,false,false
136,11,9,0,0,false,false,true,false,false
83,15,6,0,0,false,false,true,false,false
98,11,11,0,0,false,false,false,false,false
174,20,10,100,0,false,false,true,false,false
100,5,8,0,1,true,false,false,false,false
476,35,34,18,14,false,false,true,true,true
18,4,2,0,0,false,false,false,false,false
154,30,14,0,0,false,false,false,false,false
58,0,3,0,0,false,false,false,false,false
47,0,8,0,0,false,false,false,false,false
26,2,1,0,0,false,false,false,false,false
83,9,3,0,2,false,false,false,false,false
105,11,6,0,2,false,false,false,false,false
715,9,16,545,0,false,true,false,false,false
10,0,1,0,1,false,false,false,false,false
104,5,10,10,1,true,false,false,false,false
10,0,1,0,1,false,false,false,false,false
43,0,8,0,3,true,false,false,false,false
31,0,6,0,2,true,false,false,false,false
71,3,11,0,3,true,false,false,false,false
33,0,6,0,3,true,false,false,false,false
33,0,6,0,3,true,false,false,false,false
220,11,14,0,3,true,false,false,false,false
174,6,15,0,3,false,false,false,false,false
17,1,2,0,1,false,false,false,false,false
11,0,1,0,0,false,false,false,false,false
29,2,2,0,1,false,false,false,false,false
114,12,4,13,1,false,false,false,false,false
13,1,4,0,3,false,false,false,false,false
54,6,4,10,1,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
59,5,7,0,2,false,false,false,false,false
60,6,4,0,2,false,false,false,false,false
351,27,11,0,7,false,false,true,false,false
18,1,1,0,0,false,false,false,false,false
12,1,1,0,0,false,false,false,false,false
15,1,2,0,1,false,false,false,false,false
103,8,9,25,1,false,false,true,false,false
10,0,1,0,1,false,false,false,false,false
10,0,1,0,1,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
12,1,1,0,0,false,false,false,false,false
9,1,1,0,0,false,false,false,false,false
203,5,38,0,0,false,false,true,false,false
35,3,4,12,0,false,false,false,false,false
12,2,1,0,0,false,false,false,false,false
169,14,31,0,0,false,false,true,false,false
18,1,3,0,3,true,false,false,false,false
26,7,1,0,0,false,false,false,false,false
23,1,3,0,0,false,false,false,false,false
31,1,3,9,2,true,false,false,false,false
9,1,2,0,0,false,false,false,false,false
31,3,3,0,2,true,false,false,false,false
2,0,0,0,0,true,false,false,false,false
5,0,1,0,1,true,false,false,false,false
4,0,1,0,1,true,false,false,false,false
4,0,1,0,1,true,false,false,false,false
57,1,4,0,3,false,false,false,false,false
45,0,3,22,0,false,false,false,false,false
22,1,2,0,0,false,false,false,false,false
85,4,4,0,1,false,false,false,false,false
8,3,0,0,0,false,false,false,false,false
33,7,1,10,0,false,false,false,false,false
10,6,1,0,0,false,false,false,false,false
20,5,1,0,1,true,false,false,false,false
187,20,11,32,0,false,false,true,false,false
32,5,6,0,5,false,false,false,false,false
79,3,6,0,0,false,false,true,false,false
197,11,14,32,0,false,false,true,false,false
32,5,6,0,5,false,false,false,false,false
8,0,2,0,0,false,false,false,false,false
44,5,5,0,1,false,false,false,false,false
211,3,9,17,4,true,false,false,false,false
17,1,1,0,1,false,false,false,false,false
589,11,53,0,9,true,true,false,true,true
203,8,13,0,2,true,false,false,false,false
89,10,7,0,2,true,false,false,false,false
87,5,6,0,1,true,false,false,false,false
28,1,2,9,1,false,false,false,false,false
9,0,3,0,0,false,false,false,false,false
94,5,7,0,0,false,false,false,false,false
73,6,6,0,1,false,false,false,false,false
14,10,1,0,0,false,false,false,false,false
16,9,1,0,0,false,false,false,false,false
60,2,21,0,20,false,false,false,false,false
28,15,2,0,0,false,false,false,false,false
161,2,12,66,1,false,false,false,false,false
57,1,6,0,3,false,false,false,false,false
9,2,1,0,0,false,false,false,false,false
33,1,5,0,0,false,false,false,false,false
166,11,9,0,0,false,false,true,false,false
112,3,7,47,0,false,false,false,false,false
13,0,1,0,1,false,false,false,false,false
18,2,3,0,1,false,false,false,false,false
16,1,3,0,2,false,false,false,false,false
39,4,7,0,0,false,false,true,false,false
66,4,12,0,0,false,false,true,false,false
91,2,3,34,0,false,false,false,false,false
34,5,6,0,0,false,false,false,false,false
135,7,7,0,0,false,false,true,false,false
23,2,6,0,0,false,false,false,false,false
12,2,2,0,0,false,false,false,false,false
29,0,3,0,0,false,false,false,false,false
31,4,5,0,3,false,false,false,false,false
43,1,3,22,0,false,false,false,false,false
22,1,2,0,0,false,false,false,false,false
14,0,3,0,0,false,false,false,false,false
134,4,11,0,0,false,false,true,false,false
33,0,2,0,0,false,false,false,false,false
10,0,3,0,0,false,false,false,false,false
47,5,3,0,1,false,false,true,false,false
18,1,2,0,1,true,false,false,false,false
55,1,8,0,1,true,false,false,false,false
51,3,6,0,0,false,false,true,false,false
2,0,0,0,0,false,false,false,false,false
52,3,10,0,0,false,false,false,false,false
83,3,11,17,3,false,false,false,false,false
17,2,4,0,1,false,false,false,false,false
202,8,19,0,5,true,false,false,true,false
19,1,2,0,0,false,false,false,false,false
24,7,3,0,1,false,false,false,false,false
183,4,24,0,5,true,false,false,true,false
95,3,12,0,5,true,false,false,false,false
70,3,7,17,0,false,false,false,false,false
17,5,2,0,0,false,false,false,false,false
121,4,24,0,5,true,false,true,false,false
29,8,3,0,1,false,false,false,false,false
36,5,3,0,0,false,false,true,false,false
235,8,21,0,4,true,false,true,true,false
70,3,12,0,0,false,false,false,false,false
50,4,5,0,3,false,false,false,false,false
33,2,5,0,3,false,false,false,false,false
8,0,2,0,1,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
8,0,2,0,1,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
8,0,1,0,0,false,false,false,false,false
5,0,1,0,1,false,false,false,false,false
774,37,36,0,3,true,true,false,false,true
45,7,5,0,0,false,false,false,false,false
28,4,4,0,0,false,false,false,false,false
477,17,17,0,0,false,false,true,false,false
71,0,1,0,0,false,false,false,false,false
93,10,8,0,0,false,false,false,false,false
154,25,34,0,0,false,false,false,false,false
304,5,17,0,15,false,false,false,true,false
156,1,9,0,7,false,false,false,true,false
168,0,11,0,6,false,false,false,true,false
186,0,13,0,9,false,false,false,true,false
48,4,7,0,0,false,false,false,false,false
57,15,8,0,0,false,false,false,false,false
276,31,55,0,0,false,false,false,true,false
50,1,7,0,6,false,false,false,false,false
112,5,12,0,8,false,false,false,false,false
20,0,3,0,3,false,false,false,false,false
28,0,3,0,3,false,false,false,false,false
31,0,3,0,3,false,false,false,false,false
58,0,6,0,6,false,false,false,false,false
60,0,5,0,5,false,false,false,false,false
9,0,1,0,1,false,false,false,false,false
347,26,20,0,11,false,false,false,true,false
83,11,6,0,0,false,false,false,false,false
57,3,7,0,0,false,false,false,false,false
107,6,16,0,0,false,false,false,false,false
141,15,15,0,8,true,false,true,false,false
115,0,1,0,0,false,false,false,false,false
83,8,14,0,0,false,false,false,false,false
130,9,13,0,0,false,false,false,false,false
40,1,2,0,0,false,false,false,false,false
172,7,16,0,8,true,false,false,false,false
47,45,0,0,0,false,false,false,false,false
48,3,3,0,3,false,false,false,false,false
565,20,35,73,9,false,true,true,true,true
73,3,13,0,6,false,false,false,false,false
17,0,1,0,0,false,false,false,false,false
863,35,62,84,24,true,true,false,true,true
84,0,4,0,4,true,false,false,false,false
96,3,5,0,2,false,false,false,false,false
255,8,21,0,0,false,false,true,true,false
155,0,1,147,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
9,1,2,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
9,1,2,0,0,false,false,false,false,false
24,3,5,0,0,false,false,false,false,false
14,2,3,0,0,false,false,false,false,false
19,3,4,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
9,1,2,0,0,false,false,false,false,false
30,4,7,0,0,false,false,false,false,false
19,3,4,0,0,false,false,false,false,false
2,0,0,0,0,false,false,false,false,false
